"2018 IDNIYRA NORTH AMERICAN CHAMPIONSHIP - JANUARY 24 - 27, 2018"
LAKE CHARLEVOIX
"PETOSKEY, MICHIGAN"
Gold fleet
Pos,Sail#,Name,Race>,1,2,3,4,5,Points
29,US 4925,"VALENTINE,",SCOTT (S),32,30,31 (36),3,96
30,KC 5457,"DUNCAN,",COLIN (M),30 (32),29,20,20,99
31,US 581,"RENJI,",CLINTON,22,26,27,25 (DNS) 100.00
32,KC 5591,"WEBBER,",MIKE,28,28 (32),27,24,107
33,US 107,"KAISER,",HANK (M),25 (33),28,32,29,114
34,US 8,"MCGOWAN,",PETER,29,34 (36),33,32,128
35,P 71,"ZIOLKOWSKI,",LESZEK (M),(DNS) DNS,16,28,DNS,128
36,US 209,"ROSE,III,",TREY (N),35 (35),35,35,28,133
37,KC 3475,"DRUIVEN, LESTER (S),(N)",36,36,37 (DNS) DNS,151
38,US 1576,"JONES,",BRIAN (N),DNS,31 (DNF) DNS,DNS,157
39,US 3743,"CARNAGHI,",J.P.(S),33,DNS (DNS) DNS,DNS,159
40T,US 1630,"CONNELL,",DANIEL (S),DNS (DNS) DNS,DNS,DNS,168
41T,US 3535,"KENT,",JEFFREY (M),DNS (DNS) DNS,DNS,DNS,168
Scoring system: IDNIYRA Worlds
